Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
1/22/24,Perfect Days,2023,https://boxd.it/5EjxmR,4,,,1/21/24
1/23/24,Lost in Translation,2003,https://boxd.it/5FgO3P,1,,,1/23/24
1/25/24,Crazy Rich Asians,2018,https://boxd.it/5FP8uJ,2.5,,,1/24/24
1/26/24,The Best Offer,2013,https://boxd.it/5GhiiJ,3.5,Yes,,1/25/24
1/29/24,Jojo Rabbit,2019,https://boxd.it/5Ig6nj,5,Yes,,1/29/24
1/30/24,Avengers: Endgame,2019,https://boxd.it/5IPjlZ,4.5,Yes,,1/29/24
2/1/24,Murder on the Orient Express,2017,https://boxd.it/5JIfDP,3,Yes,,2/1/24
2/2/24,"Planes, Trains and Automobiles",1987,https://boxd.it/5K7NLt,4.5,,,2/2/24
2/5/24,The Batman,2022,https://boxd.it/5LDoWz,4.5,,,2/5/24
2/9/24,The Marvels,2023,https://boxd.it/5N9rMb,3,,,2/9/24
2/25/24,Annihilation,2018,https://boxd.it/5UAgBD,4,Yes,,2/25/24
2/26/24,Mad Max: Fury Road,2015,https://boxd.it/5UNhsN,5,Yes,,2/26/24
2/27/24,Poor Things,2023,https://boxd.it/5VEodV,5,,,2/27/24
3/2/24,Spaceman,2024,https://boxd.it/5XdgzD,3,,,3/2/24
3/3/24,Sunday Beauty Queen,2016,https://boxd.it/5XSDBf,4,,,3/3/24
3/4/24,Society of the Snow,2023,https://boxd.it/5XXXtZ,5,,,3/3/24
3/4/24,Tetris,2023,https://boxd.it/5Yq4Cv,3,,,3/4/24
3/5/24,Memento,2000,https://boxd.it/5YWbTR,4.5,,,3/5/24
3/7/24,Oppenheimer,2023,https://boxd.it/5ZoRUj,4.5,,,3/6/24
3/8/24,Society of the Snow: Who Were We on the Mountain?,2024,https://boxd.it/608jwz,,,,3/8/24
3/9/24,Charlie's Angels,2000,https://boxd.it/60zM73,3,Yes,,3/9/24
3/9/24,The Banshees of Inisherin,2022,https://boxd.it/60C2jD,4,,,3/9/24
3/10/24,Leonor Will Never Die,2022,https://boxd.it/615WGh,4,,,3/10/24
3/12/24,The Highwaymen,2019,https://boxd.it/629sRB,2.5,Yes,,3/12/24
3/15/24,Horrible Bosses,2011,https://boxd.it/63tuoF,2,Yes,,3/15/24
3/24/24,Superhero Movie,2008,https://boxd.it/67zUXf,2,Yes,,3/24/24
3/26/24,Imaginary,2024,https://boxd.it/68gewx,1.5,,,3/24/24
3/26/24,Tower Heist,2011,https://boxd.it/68j2x5,2,Yes,,3/25/24
3/26/24,Fun with Dick and Jane,2005,https://boxd.it/68FQit,2,,,3/26/24
3/27/24,BlacKkKlansman,2018,https://boxd.it/68I8UT,3.5,,,3/26/24
3/29/24,Se7en,1995,https://boxd.it/69Yhe9,4,Yes,,3/29/24
3/29/24,Horrible Bosses 2,2014,https://boxd.it/69Yi0x,2,,,3/29/24
3/29/24,The Lost City,2022,https://boxd.it/69YjUr,2,,,3/29/24
3/31/24,Jurassic Park,1993,https://boxd.it/6aV1k9,4,,,3/31/24
4/2/24,Blade Runner,1982,https://boxd.it/6bW9CB,3,,,4/2/24
4/2/24,One Day,2011,https://boxd.it/6bZ8kx,3.5,,,4/2/24
4/2/24,Bride Wars,2009,https://boxd.it/6c4tjF,2,Yes,,4/2/24
4/5/24,Godzilla × Kong: The New Empire,2024,https://boxd.it/6dd8pp,2,,2024 cinema,4/3/24
4/5/24,Marriage Story,2019,https://boxd.it/6cY8T5,5,,,4/4/24
